Date Finished,Name,Task,Num Tasks Learned,Current Val,Adapt Val
11-03-20_21:53:59, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_0~numtaskslearned=10~tasknumber=0, RandSplitCIFAR100_0, 10, 0.7900, 0.8040
11-03-20_21:54:00, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_1~numtaskslearned=10~tasknumber=1, RandSplitCIFAR100_1, 10, 0.8020, 0.8060
11-03-20_21:54:00, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_2~numtaskslearned=10~tasknumber=2, RandSplitCIFAR100_2, 10, 0.8840, 0.8680
11-03-20_21:54:00, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_3~numtaskslearned=10~tasknumber=3, RandSplitCIFAR100_3, 10, 0.9060, 0.9060
11-03-20_21:54:01, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_4~numtaskslearned=10~tasknumber=4, RandSplitCIFAR100_4, 10, 0.8340, 0.8640
11-03-20_21:54:01, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_5~numtaskslearned=10~tasknumber=5, RandSplitCIFAR100_5, 10, 0.9180, 0.9140
11-03-20_21:54:01, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_6~numtaskslearned=10~tasknumber=6, RandSplitCIFAR100_6, 10, 0.8900, 0.8920
11-03-20_21:54:01, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_7~numtaskslearned=10~tasknumber=7, RandSplitCIFAR100_7, 10, 0.7500, 0.7300
11-03-20_21:54:02, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_8~numtaskslearned=10~tasknumber=8, RandSplitCIFAR100_8, 10, 0.8600, 0.8480
11-03-20_21:54:02, id=supsup~seed=0~sparsity=4~try=0~task=RandSplitCIFAR100_9~numtaskslearned=10~tasknumber=9, RandSplitCIFAR100_9, 10, 0.8700, 0.8500
